Time,DKe_wind,SE2_wind,SE4_wind
10/01/2015 11:00,0.95,0.1720205,0.95
10/01/2015 12:00,0.95,0.2443519,0.95
10/01/2015 13:00,0.95,0.3822246,0.9499999
10/01/2015 14:00,0.95,0.3873878,0.95
10/01/2015 15:00,0.95,0.3000006,0.95
10/01/2015 16:00,0.95,0.4442201,0.95
10/01/2015 17:00,0.95,0.31747,0.95
10/01/2015 18:00,0.95,0.3760295,0.95
10/01/2015 19:00,0.95,0.3123068,0.9499999
10/01/2015 20:00,0.95,0.174735,0.95
10/01/2015 21:00,0.9334059,0.1695364,0.95
10/01/2015 22:00,0.7579167,0.1275578,0.9250508
10/01/2015 23:00,0.7579167,0.07916224,0.8526332
11/01/2015 00:00,0.7579167,0.08724799,0.8526332
11/01/2015 01:00,0.7579167,0.05401522,0.8526332
11/01/2015 02:00,0.7579167,0.07231854,0.8526332
11/01/2015 03:00,0.7579167,0.08166428,0.8526332
11/01/2015 04:00,0.7579167,0.04519112,0.8526332
11/01/2015 05:00,0.7579167,0.006104237,0.8526332
11/01/2015 06:00,0.7579167,0.01650115,0.8526332
11/01/2015 07:00,0.95,0.02531618,0.8526332
11/01/2015 08:00,0.95,0.01015101,0.8526332
11/01/2015 09:00,0.95,0.01671481,0.8526332
11/01/2015 10:00,0.95,0,0.8526332
11/01/2015 11:00,0.95,0,0.8526332
11/01/2015 12:00,0.95,0,0.9499999
11/01/2015 13:00,0.9499999,0,0.9499999
11/01/2015 14:00,0.95,0,0.95
11/01/2015 15:00,0.95,0.006686843,0.95
11/01/2015 16:00,0.95,0.02344666,0.95
11/01/2015 17:00,0.95,0.04795106,0.95
11/01/2015 18:00,0.95,0.08349442,0.95
11/01/2015 19:00,0.95,0.0700364,0.95
11/01/2015 20:00,0.95,0.1008121,0.9499999
11/01/2015 21:00,0.9499999,0.1620856,0.95
11/01/2015 22:00,0.95,0.2554322,0.95
11/01/2015 23:00,0.931812,0.2676248,0.95
12/01/2015 00:00,0.95,0.2115715,0.95
12/01/2015 01:00,0.95,0.1568552,0.95
12/01/2015 02:00,0.9499999,0.09374949,0.95
12/01/2015 03:00,0.95,0.1004065,0.9499999
12/01/2015 04:00,0.95,0.0870583,0.95
12/01/2015 05:00,0.95,0.02915359,0.95
12/01/2015 06:00,0.95,0.03433014,0.95
12/01/2015 07:00,0.95,0.08362501,0.95
12/01/2015 08:00,0.9499999,0.09645291,0.95
12/01/2015 09:00,0.95,0.1484128,0.95
12/01/2015 10:00,0.9499999,0.07309653,0.95
12/01/2015 11:00,0.95,0.1677291,0.9499999
12/01/2015 12:00,0.95,0.1784722,0.9499999
12/01/2015 13:00,0.95,0.2482612,0.95
12/01/2015 14:00,0.95,0.3744183,0.95
12/01/2015 15:00,0.95,0.5684154,0.95
12/01/2015 16:00,0.95,0.7641679,0.95
12/01/2015 17:00,0.95,0.8051682,0.9499999
12/01/2015 18:00,0.9499999,0.858321,0.95
12/01/2015 19:00,0.95,0.7844188,0.9499999
12/01/2015 20:00,0.95,0.2487947,0.95
12/01/2015 21:00,0.95,0.1458628,0.95
12/01/2015 22:00,0.9499999,0.1747775,0.95
12/01/2015 23:00,0.95,0.1811602,0.95
13/01/2015 00:00,0.9499999,0.1047424,0.95
13/01/2015 01:00,0.95,0.03696084,0.95
13/01/2015 02:00,0.9418882,0.07902358,0.95
13/01/2015 03:00,0.773155,0.201424,0.9198388
13/01/2015 04:00,0.5563916,0.2272231,0.8091144
13/01/2015 05:00,0.6637485,0.2011959,0.7327341
13/01/2015 06:00,0.490669,0.277345,0.6196297
13/01/2015 07:00,0.4011217,0.3071801,0.7336686
13/01/2015 08:00,0.1819066,0.4142372,0.702818
13/01/2015 09:00,0.272996,0.3534712,0.6869652
13/01/2015 10:00,0.3273786,0.6140571,0.7397588
13/01/2015 11:00,0.2748437,0.8313256,0.9488551
13/01/2015 12:00,0.383853,0.7701771,0.95
13/01/2015 13:00,0.3103489,0.5448656,0.95
13/01/2015 14:00,0.3796629,0.4458919,0.95
13/01/2015 15:00,0.3805593,0.4196598,0.95
13/01/2015 16:00,0.5306429,0.4414915,0.95
13/01/2015 17:00,0.93849,0.3463113,0.873302
13/01/2015 18:00,0.95,0.2963873,0.9372487
13/01/2015 19:00,0.95,0.1774269,0.95
13/01/2015 20:00,0.8541132,0.2048877,0.9499999
13/01/2015 21:00,0.6230711,0.3643799,0.95
13/01/2015 22:00,0.4540637,0.2587323,0.95
13/01/2015 23:00,0.7246383,0.2200989,0.8673278
14/01/2015 00:00,0.5900093,0.1021272,0.8312711
14/01/2015 01:00,0.5786664,0.1311611,0.4909222
14/01/2015 02:00,0.5347245,0.1175601,0.3748586
14/01/2015 03:00,0.4827963,0.138612,0.295317
14/01/2015 04:00,0.4892569,0.1430589,0.3504697
14/01/2015 05:00,0.4276213,0.2029313,0.1940098
14/01/2015 06:00,0.4625332,0.1645433,0.3251618
14/01/2015 07:00,0.4063229,0.1321891,0.2636349
14/01/2015 08:00,0.5201167,0.1380891,0.4176879
14/01/2015 09:00,0.6241366,0.1453835,0.4822329
14/01/2015 10:00,0.9132184,0.1142639,0.4297137
14/01/2015 11:00,0.8319848,0.1841405,0.3359255
14/01/2015 12:00,0.6438695,0.1230589,0.5698382
14/01/2015 13:00,0.5500925,0.09715182,0.9155206
14/01/2015 14:00,0.6175842,0.09129994,0.95
14/01/2015 15:00,0.7440692,0.06120668,0.9299405
14/01/2015 16:00,0.6673294,0.06811865,0.8205005
14/01/2015 17:00,0.5441321,0.1031569,0.7141475
14/01/2015 18:00,0.3339669,0.08948854,0.8240318
14/01/2015 19:00,0.5107906,0.08464995,0.6336904
14/01/2015 20:00,0.6715126,0.1144761,0.6249692
14/01/2015 21:00,0.3830911,0.1140486,0.6197178
14/01/2015 22:00,0.5799497,0.2235835,0.5297013
14/01/2015 23:00,0.583775,0.2845269,0.5452355
15/01/2015 00:00,0.6298925,0.3111685,0.4449879
15/01/2015 01:00,0.7178313,0.2022766,0.4319553
15/01/2015 02:00,0.5728743,0.06962274,0.3459537
15/01/2015 03:00,0.6164905,0.08422174,0.392634
15/01/2015 04:00,0.7999111,0.122855,0.463953
15/01/2015 05:00,0.8065482,0.1338487,0.4270215
15/01/2015 06:00,0.9441054,0.2551834,0.3716437
15/01/2015 07:00,0.95,0.5572189,0.5913832
15/01/2015 08:00,0.95,0.6210423,0.95
15/01/2015 09:00,0.95,0.4011474,0.95
15/01/2015 10:00,0.9499999,0.2561935,0.95
15/01/2015 11:00,0.95,0.3231564,0.95
15/01/2015 12:00,0.95,0.7198349,0.95
15/01/2015 13:00,0.95,0.6754352,0.95
15/01/2015 14:00,0.9499999,0.5763541,0.9499999
15/01/2015 15:00,0.95,0.6606115,0.95
15/01/2015 16:00,0.95,0.888613,0.95
15/01/2015 17:00,0.95,0.8550361,0.95
15/01/2015 18:00,0.9499999,0.7689818,0.9499999
15/01/2015 19:00,0.9499999,0.6039233,0.9499999
15/01/2015 20:00,0.95,0.4850945,0.95
15/01/2015 21:00,0.95,0.4073524,0.9499999
15/01/2015 22:00,0.95,0.4414428,0.95
15/01/2015 23:00,0.95,0.3445913,0.95
16/01/2015 00:00,0.95,0.4134786,0.95
16/01/2015 01:00,0.95,0.5513138,0.95
16/01/2015 02:00,0.9499999,0.6242132,0.95
16/01/2015 03:00,0.95,0.6767038,0.95
16/01/2015 04:00,0.95,0.7603772,0.95
16/01/2015 05:00,0.95,0.7004363,0.95
16/01/2015 06:00,0.95,0.7281789,0.95
16/01/2015 07:00,0.95,0.8098834,0.95
16/01/2015 08:00,0.95,0.7241954,0.95
16/01/2015 09:00,0.95,0.9047087,0.9499999
16/01/2015 10:00,0.95,0.9060107,0.95
16/01/2015 11:00,0.95,0.7733224,0.95
16/01/2015 12:00,0.95,0.7908512,0.95
16/01/2015 13:00,0.95,0.5474956,0.9499999
16/01/2015 14:00,0.9499999,0.3911576,0.95
16/01/2015 15:00,0.95,0.474404,0.9499999
16/01/2015 16:00,0.9499999,0.6052163,0.9499999
16/01/2015 17:00,0.9390005,0.4837333,0.95
16/01/2015 18:00,0.8382156,0.4204957,0.95
16/01/2015 19:00,0.7484079,0.3221299,0.95
16/01/2015 20:00,0.6732493,0.633376,0.95
16/01/2015 21:00,0.6558589,0.7641198,0.7926384
