Time,DKe_wind,SE2_wind,SE4_wind
06/01/2015 00.00,0.145842,0.462367,0.01445837
06/01/2015 01.00,0.2587059,0.32322,0.01979705
06/01/2015 02.00,0.4038351,0.4246381,0.04572643
06/01/2015 03.00,0.3652299,0.6247647,0.06379059
06/01/2015 04.00,0.2763201,0.5099705,0.1084271
06/01/2015 05.00,0.4318613,0.3689336,0.1845931
06/01/2015 06.00,0.3685576,0.424944,0.2058346
06/01/2015 07.00,0.3242983,0.4753987,0.2845386
06/01/2015 08.00,0.2156559,0.6554002,0.2997965
06/01/2015 09.00,0.3374423,0.4433755,0.3778021
06/01/2015 10.00,0.4681097,0.5057925,0.4148971
06/01/2015 11.00,0.4612961,0.6495844,0.4900832
06/01/2015 12.00,0.3943305,0.6795281,0.4996507
06/01/2015 13.00,0.3269117,0.595224,0.6888711
06/01/2015 14.00,0.6087974,0.5653703,0.6701728
06/01/2015 15.00,0.7251498,0.5459744,0.832866
06/01/2015 16.00,0.5914293,0.6359643,0.9479517
06/01/2015 17.00,0.5022698,0.6153664,0.9241778
06/01/2015 18.00,0.835844,0.6623368,0.95
06/01/2015 19.00,0.8882182,0.47332,0.95
06/01/2015 20.00,0.7133479,0.492321,0.95
06/01/2015 21.00,0.7609962,0.6993004,0.9499999
06/01/2015 22.00,0.5542697,0.4710859,0.95
06/01/2015 23.00,0.7664942,0.4093634,0.95
07/01/2015 00.00,0.624269,0.2113959,0.95
07/01/2015 01.00,0.5447003,0.2102054,0.9499999
07/01/2015 02.00,0.4776213,0.1358868,0.95
07/01/2015 03.00,0.4258704,0.135725,0.95
07/01/2015 04.00,0.4097548,0.1524332,0.95
07/01/2015 05.00,0.2815285,0.2346849,0.95
07/01/2015 06.00,0.2306282,0.2304741,0.95
07/01/2015 07.00,0.1651013,0.2414158,0.7007253
07/01/2015 08.00,0.1652151,0.2497639,0.7037401
07/01/2015 09.00,0.1172225,0.1926821,0.640406
07/01/2015 10.00,0.1443812,0.07893948,0.5427191
07/01/2015 11.00,0.1252906,0.04645269,0.300005
07/01/2015 12.00,0.1193974,0,0.1971736
07/01/2015 13.00,0.1502157,0,0.1759883
07/01/2015 14.00,0.2413586,0.08578955,0.1461422
07/01/2015 15.00,0.3102231,0.1543233,0.1195949
07/01/2015 16.00,0.3126283,0.1863396,0.09447378
07/01/2015 17.00,0.4299341,0.3377548,0.07029405
07/01/2015 18.00,0.4214454,0.4192437,0.1144416
07/01/2015 19.00,0.5895087,0.4464748,0.09557648
07/01/2015 20.00,0.6443994,0.4614774,0.1381835
07/01/2015 21.00,0.3635241,0.3786159,0.2010595
07/01/2015 22.00,0.5296972,0.4950146,0.214374
07/01/2015 23.00,0.5907098,0.5277913,0.3158509
08/01/2015 00.00,0.7568889,0.6479262,0.4128163
08/01/2015 01.00,0.8928196,0.629578,0.6567674
08/01/2015 02.00,0.8873507,0.5864784,0.8064177
08/01/2015 03.00,0.95,0.910637,0.9281296
08/01/2015 04.00,0.95,0.95,0.9499999
08/01/2015 05.00,0.95,0.6254088,0.95
08/01/2015 06.00,0.95,0.4034313,0.95
08/01/2015 07.00,0.95,0.4134996,0.95
08/01/2015 08.00,0.9499999,0.3099955,0.95
08/01/2015 09.00,0.95,0.1820583,0.95
08/01/2015 10.00,0.95,0.1038549,0.95
08/01/2015 11.00,0.95,0.1056757,0.95
08/01/2015 12.00,0.9370944,0.2191082,0.95
08/01/2015 13.00,0.7938682,0.1763318,0.95
08/01/2015 14.00,0.7602553,0.1417382,0.95
08/01/2015 15.00,0.937718,0.1733694,0.9499999
08/01/2015 16.00,0.8363246,0.2323261,0.8960425
08/01/2015 17.00,0.7458489,0.1789036,0.8903523
08/01/2015 18.00,0.7670577,0.1413236,0.6950255
08/01/2015 19.00,0.876334,0.06167366,0.5353311
08/01/2015 20.00,0.9357121,0.02864936,0.6880683
08/01/2015 21.00,0.95,0.06074426,0.8171808
08/01/2015 22.00,0.95,0.1425703,0.95
08/01/2015 23.00,0.95,0.05214626,0.9499999
09/01/2015 00.00,0.95,0.01589485,0.95
09/01/2015 01.00,0.95,0.03324449,0.95
09/01/2015 02.00,0.95,0.0989514,0.95
09/01/2015 03.00,0.95,0.2427576,0.95
09/01/2015 04.00,0.95,0.380772,0.95
09/01/2015 05.00,0.788475,0.3548147,0.95
09/01/2015 06.00,0.9448717,0.3609356,0.9499999
09/01/2015 07.00,0.95,0.3792476,0.95
09/01/2015 08.00,0.95,0.2787665,0.95
09/01/2015 09.00,0.95,0.2402804,0.9499999
09/01/2015 10.00,0.95,0.196979,0.9438449
09/01/2015 11.00,0.95,0.1884493,0.95
09/01/2015 12.00,0.9499999,0.2218743,0.95
09/01/2015 13.00,0.95,0.211975,0.95
09/01/2015 14.00,0.95,0.1734748,0.95
09/01/2015 15.00,0.95,0.1377311,0.9499999
09/01/2015 16.00,0.9499999,0.1269649,0.95
09/01/2015 17.00,0.95,0.08328149,0.95
09/01/2015 18.00,0.95,0.07821028,0.95
09/01/2015 19.00,0.95,0.02289839,0.95
09/01/2015 20.00,0.9499999,0.03708639,0.95
09/01/2015 21.00,0.95,0.04736777,0.9499999
09/01/2015 22.00,0.95,0.01471073,0.95
09/01/2015 23.00,0.95,0.0121797,0.95
10/01/2015 00.00,0.95,0,0.9499999
10/01/2015 01.00,0.8417855,0,0.95
10/01/2015 02.00,0.9098495,0,0.95
10/01/2015 03.00,0.5065649,0,0.9198518
10/01/2015 04.00,0.2090186,0.01329289,0.6961071
10/01/2015 05.00,0.1908168,0.02613287,0.5757835
10/01/2015 06.00,0.5236881,0.02863987,0.4539686
10/01/2015 07.00,0.8364539,0.03421257,0.4072
10/01/2015 08.00,0.95,0.04502575,0.5028762
10/01/2015 09.00,0.95,0.05488161,0.9499999
10/01/2015 10.00,0.9499999,0.141358,0.95
10/01/2015 11.00,0.95,0.1720205,0.95
10/01/2015 12.00,0.95,0.2443519,0.95
10/01/2015 13.00,0.95,0.3822246,0.9499999
10/01/2015 14.00,0.95,0.3873878,0.95
10/01/2015 15.00,0.95,0.3000006,0.95
10/01/2015 16.00,0.95,0.4442201,0.95
10/01/2015 17.00,0.95,0.31747,0.95
10/01/2015 18.00,0.95,0.3760295,0.95
10/01/2015 19.00,0.95,0.3123068,0.9499999
10/01/2015 20.00,0.95,0.174735,0.95
10/01/2015 21.00,0.9334059,0.1695364,0.95
10/01/2015 22.00,0.7579167,0.1275578,0.9250508
10/01/2015 23.00,0.7579167,0.07916224,0.8526332
11/01/2015 00.00,0.7579167,0.08724799,0.8526332
11/01/2015 01.00,0.7579167,0.05401522,0.8526332
11/01/2015 02.00,0.7579167,0.07231854,0.8526332
11/01/2015 03.00,0.7579167,0.08166428,0.8526332
11/01/2015 04.00,0.7579167,0.04519112,0.8526332
11/01/2015 05.00,0.7579167,0.006104237,0.8526332
11/01/2015 06.00,0.7579167,0.01650115,0.8526332
11/01/2015 07.00,0.95,0.02531618,0.8526332
11/01/2015 08.00,0.95,0.01015101,0.8526332
11/01/2015 09.00,0.95,0.01671481,0.8526332
11/01/2015 10.00,0.95,0,0.8526332
