HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-01T16:00:00+00:00,2022-01-01T17:00:00,DK1,2668.17,363.33,319.8,826.54,12.26,1.8,2.21,0.57,94.92,1614.92,918.4,170,-413,-1199
2022-01-01T16:00:00+00:00,2022-01-01T17:00:00,DK2,1804.88,511.72,91.9,225.47,38.38,,,0,81.73,177.62,183.37,885,413,-773
2022-01-01T17:00:00+00:00,2022-01-01T18:00:00,DK1,2619.19,356.88,321.39,873.73,12.15,1.79,2.2,0.57,95.09,1818.14,1108.04,149,-294,-1764
2022-01-01T17:00:00+00:00,2022-01-01T18:00:00,DK2,1787.78,493.38,89.64,221,37.67,,,0,85.95,254.84,306.54,595,294,-558
2022-01-01T18:00:00+00:00,2022-01-01T19:00:00,DK1,2436.27,342.95,300.92,811.3,12.27,1.79,2.2,0.57,95.75,1859.42,1168.53,-91,-414,-1568
2022-01-01T18:00:00+00:00,2022-01-01T19:00:00,DK2,1696.42,494.74,92.75,202.36,38.64,,,0,84.71,345.12,579.14,376,414,-890
2022-01-01T19:00:00+00:00,2022-01-01T20:00:00,DK1,2358.96,309.68,268.05,702.24,11.94,1.8,2.16,0.57,91.54,1983.09,1163.51,-524,-521,-926
2022-01-01T19:00:00+00:00,2022-01-01T20:00:00,DK2,1611.07,382.99,90.41,164.84,37.9,,,0,84.54,412.81,798.71,57,521,-892
2022-01-01T20:00:00+00:00,2022-01-01T21:00:00,DK1,2285.57,176.71,231.2,579.03,11.68,1.79,2.14,0.57,91.22,2042.22,1172.88,-618,-296,-867
2022-01-01T20:00:00+00:00,2022-01-01T21:00:00,DK2,1535.71,368.23,89.91,145.91,37.76,,,0,85.02,433.42,902.6,-472,296,-297
2022-01-01T21:00:00+00:00,2022-01-01T22:00:00,DK1,2170.64,152.35,226.53,471.7,11.6,1.79,2.13,0.57,90.53,1975.97,1121.81,-731,-179,-742
2022-01-01T21:00:00+00:00,2022-01-01T22:00:00,DK2,1448.43,319.9,89.23,144.75,37.27,,,0,85.4,394.71,926.45,-605,179,-64
2022-01-01T22:00:00+00:00,2022-01-01T23:00:00,DK1,2093.13,150.39,144.05,331.5,12.05,1.79,2.17,0.57,90.31,1905.28,1137.35,-865,208,-714
2022-01-01T22:00:00+00:00,2022-01-01T23:00:00,DK2,1369.34,264.92,91.35,145.25,36.62,,,0,85.66,370.15,919.09,-588,-208,303
