HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,DE,358.58,48.19
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,DK1,358.58,48.19
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,DK2,358.58,48.19
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,NO2,181.19,24.35
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,SE3,181.19,24.35
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,SE4,181.19,24.35
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,SYSTEM,180.67,24.28
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,DE,332.46,44.68
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,DK1,332.46,44.68
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,DK2,332.46,44.68
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,NO2,178.44,23.98
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,SE3,178.44,23.98
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,SE4,178.44,23.98
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,SYSTEM,177.84,23.9
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,DE,319.37,42.92
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,DK1,319.37,42.92
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,DK2,319.37,42.92
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,NO2,176.5,23.72
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,SE3,176.5,23.72
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,SE4,176.5,23.72
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,SYSTEM,175.68,23.61
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,DE,300.54,40.39
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,DK1,300.54,40.39
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,DK2,300.54,40.39
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,NO2,176.57,23.73
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,SE3,176.57,23.73
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,SE4,176.57,23.73
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,SYSTEM,176.05,23.66
2021-01-01T04:00:00+00:00,2021-01-01T05:00:00,DE,299.13,40.2
2021-01-01T04:00:00+00:00,2021-01-01T05:00:00,DK1,299.13,40.2
