HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,DE,307.35,41.33
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,DK1,307.35,41.33
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,DK2,307.35,41.33
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,NO2,961.54,129.3
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,SE3,307.35,41.33
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,SE4,307.35,41.33
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,SYSTEM,404.47,54.39
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,DE,321.41,43.22
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,DK1,321.41,43.22
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,DK2,313.67,42.18
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,NO2,982.21,132.08
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,SE3,313.67,42.18
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,SE4,313.67,42.18
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,SYSTEM,433.55,58.3
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,DE,338.06,45.46
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,DK1,338.06,45.46
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,DK2,329.96,44.37
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,NO2,828.72,111.44
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,SE3,329.96,44.37
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,SE4,329.96,44.37
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,SYSTEM,385.21,51.8
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,DE,280.13,37.67
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,DK1,280.13,37.67
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,DK2,280.13,37.67
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,NO2,835.49,112.35
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,SE3,280.13,37.67
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,SE4,280.13,37.67
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,SYSTEM,350.63,47.15
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,DE,295.23,39.7
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,DK1,295.23,39.7
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,DK2,295.23,39.7
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,NO2,847.02,113.9
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,SE3,295.23,39.7
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,SE4,295.23,39.7
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,SYSTEM,370.64,49.84
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,DE,301.85,40.59
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,DK1,301.85,40.59
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,DK2,301.85,40.59
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,NO2,909.11,122.25
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,SE3,301.85,40.59
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,SE4,301.85,40.59
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,SYSTEM,396.66,53.34
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,DE,321.7,43.26
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,DK1,321.7,43.26
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,DK2,321.7,43.26
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,NO2,881.82,118.58
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,SE3,321.7,43.26
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,SE4,321.7,43.26
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,SYSTEM,389.38,52.36
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,DE,369.3,49.66
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,DK1,369.3,49.66
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,DK2,369.3,49.66
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,NO2,881,118.47
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,SE3,369.3,49.66
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,SE4,369.3,49.66
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,SYSTEM,471.77,63.44
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,DE,520.93,70.05
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,DK1,520.93,70.05
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,DK2,520.93,70.05
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,NO2,876.47,117.86
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,SE3,520.93,70.05
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,SE4,520.93,70.05
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,SYSTEM,494.9,66.55
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,DE,571.05,76.79
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,DK1,571.05,76.79
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,DK2,571.05,76.79
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,NO2,892.6,120.03
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,SE3,571.05,76.79
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,SE4,571.05,76.79
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,SYSTEM,510.89,68.7
2022-01-01T10:00:00+00:00,2022-01-01T11:00:00,DE,625.41,84.1
2022-01-01T10:00:00+00:00,2022-01-01T11:00:00,DK1,625.41,84.1
