HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,DE,155.37896,20.9
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,DK1,155.37,20.9
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,DK2,155.37,20.9
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,NO2,209.42,28.17
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,SE3,178.64,24.03
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,SE4,178.64,24.03
2017-01-01T00:00:00+00:00,2017-01-01T01:00:00,SYSTEM,190.38,25.61
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,DE,134.785672,18.13
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,DK1,134.78,18.13
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,DK2,134.78,18.13
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,NO2,208.38,28.03
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,SE3,178.56,24.02
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,SE4,178.56,24.02
2017-01-01T01:00:00+00:00,2017-01-01T02:00:00,SYSTEM,189.49,25.49
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,DE,119.173432,16.03
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,DK1,119.17,16.03
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,DK2,119.17,16.03
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,NO2,208.15,28
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,SE3,172.39,23.19
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,SE4,172.39,23.19
2017-01-01T02:00:00+00:00,2017-01-01T03:00:00,SYSTEM,187.71,25.25
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,DE,122.147192,16.43
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,DK1,122.14,16.43
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,DK2,122.14,16.43
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,NO2,208.3,28.02
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,SE3,179.16,24.1
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,SE4,179.16,24.1
2017-01-01T03:00:00+00:00,2017-01-01T04:00:00,SYSTEM,190.53,25.63
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,DE,102.223,13.75
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,DK1,102.22,13.75
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,DK2,102.22,13.75
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,NO2,209.19,28.14
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,SE3,185.92,25.01
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,SE4,185.92,25.01
2017-01-01T04:00:00+00:00,2017-01-01T05:00:00,SYSTEM,192.39,25.88
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,DE,82.52184,11.1
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,DK1,82.52,11.1
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,DK2,82.52,11.1
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,NO2,210.46,28.31
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,SE3,190.46,25.62
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,SE4,190.46,25.62
2017-01-01T05:00:00+00:00,2017-01-01T06:00:00,SYSTEM,197.6,26.58
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,DE,115.010168,15.47
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,DK1,115,15.47
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,DK2,115,15.47
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,NO2,208.82,28.09
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,SE3,192.32,25.87
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,SE4,192.32,25.87
2017-01-01T06:00:00+00:00,2017-01-01T07:00:00,SYSTEM,198.04,26.64
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,DE,125.492672,16.88
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,DK1,125.49,16.88
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,DK2,125.49,16.88
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,NO2,206.14,27.73
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,SE3,194.62,26.18
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,SE4,194.62,26.18
2017-01-01T07:00:00+00:00,2017-01-01T08:00:00,SYSTEM,198.49,26.7
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,DE,162.144264,21.81
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,DK1,162.14,21.81
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,DK2,162.14,21.81
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,NO2,210.23,28.28
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,SE3,191.35,25.74
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,SE4,191.35,25.74
2017-01-01T08:00:00+00:00,2017-01-01T09:00:00,SYSTEM,199.9,26.89
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,DE,195.078656,26.24
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,DK1,195.07,26.24
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,DK2,195.07,26.24
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,NO2,210.83,28.36
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,SE3,199.9,26.89
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,SE4,199.9,26.89
2017-01-01T09:00:00+00:00,2017-01-01T10:00:00,SYSTEM,206.67,27.8
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,DE,196.416848,26.42
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,DK1,204.29,27.48
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,DK2,204.29,27.48
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,NO2,212.02,28.52
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,SE3,204.29,27.48
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,SE4,204.29,27.48
2017-01-01T10:00:00+00:00,2017-01-01T11:00:00,SYSTEM,208.9,28.1
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,DE,205.635504,27.66
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,DK1,208.45,28.04
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,DK2,208.45,28.04
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,NO2,211.94,28.51
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,SE3,208.45,28.04
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,SE4,208.45,28.04
2017-01-01T11:00:00+00:00,2017-01-01T12:00:00,SYSTEM,210.83,28.36
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,DE,213.36728,28.7
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,DK1,213.36,28.7
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,DK2,213.36,28.7
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,NO2,213.65,28.74
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,SE3,213.36,28.7
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,SE4,213.36,28.7
2017-01-01T12:00:00+00:00,2017-01-01T13:00:00,SYSTEM,213.43,28.71
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,DE,220.504304,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,DK1,220.49,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,DK2,220.49,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,NO2,220.49,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,SE3,220.49,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,SE4,220.49,29.66
2017-01-01T13:00:00+00:00,2017-01-01T14:00:00,SYSTEM,220.42,29.65
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,DE,262.657352,35.33
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,DK1,225.84,30.38
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,DK2,225.84,30.38
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,NO2,225.84,30.38
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,SE3,225.84,30.38
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,SE4,225.84,30.38
2017-01-01T14:00:00+00:00,2017-01-01T15:00:00,SYSTEM,225.84,30.38
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,DE,328.005728,44.12
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,DK1,228.97,30.8
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,DK2,228.97,30.8
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,NO2,228.67,30.76
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,SE3,228.97,30.8
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,SE4,228.97,30.8
2017-01-01T15:00:00+00:00,2017-01-01T16:00:00,SYSTEM,228.74,30.77
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,DE,383.540696,51.59
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,DK1,229.93,30.93
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,DK2,229.93,30.93
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,NO2,229.93,30.93
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,SE3,229.93,30.93
2017-01-01T16:00:00+00:00,2017-01-01T17:00:00,SE4,229.93,30.93
